Ticker,Cambio(%) 1_dia,Fecha
A,-1,22-dic-20
AAL,-1,22-dic-20
AAP,-1,22-dic-20
AAPL,1,22-dic-20
ABBV,-1,22-dic-20
ABC,-1,22-dic-20
ABMD,1,22-dic-20
ABT,1,22-dic-20
ACN,-1,22-dic-20
ADBE,1,22-dic-20
ADI,1,22-dic-20
ADM,-1,22-dic-20
ADP,-1,22-dic-20
ADSK,1,22-dic-20
AEE,-1,22-dic-20
AEP,-1,22-dic-20
AES,1,22-dic-20
AFL,-1,22-dic-20
AIG,-1,22-dic-20
AIV,1,22-dic-20
AIZ,1,22-dic-20
AJG,-1,22-dic-20
AKAM,1,22-dic-20
ALB,1,22-dic-20
ALGN,1,22-dic-20
ALK,1,22-dic-20
ALL,1,22-dic-20
ALLE,-1,22-dic-20
ALXN,-1,22-dic-20
AMAT,-1,22-dic-20
AMCR,1,22-dic-20
AMD,-1,22-dic-20
AME,-1,22-dic-20
AMGN,-1,22-dic-20
AMP,-1,22-dic-20
AMT,1,22-dic-20
AMZN,1,22-dic-20
ANET,1,22-dic-20
ANSS,1,22-dic-20
ANTM,-1,22-dic-20
AON,1,22-dic-20
AOS,-1,22-dic-20
APA,-1,22-dic-20
APD,-1,22-dic-20
APH,-1,22-dic-20
APTV,1,22-dic-20
ARE,1,22-dic-20
ATO,1,22-dic-20
ATVI,1,22-dic-20
AVB,1,22-dic-20
AVGO,1,22-dic-20
AVY,-1,22-dic-20
AWK,-1,22-dic-20
AXP,-1,22-dic-20
AZO,-1,22-dic-20
BA,-1,22-dic-20
BAC,-1,22-dic-20
BAX,-1,22-dic-20
BBY,1,22-dic-20
BDX,-1,22-dic-20
BEN,-1,22-dic-20
BF.B,-1,22-dic-20
BIIB,-1,22-dic-20
BIO,-1,22-dic-20
BK,-1,22-dic-20
BKNG,-1,22-dic-20
BKR,-1,22-dic-20
BLK,-1,22-dic-20
BLL,-1,22-dic-20
BMY,-1,22-dic-20
BR,-1,22-dic-20
BRK.B,-1,22-dic-20
BSX,-1,22-dic-20
BWA,1,22-dic-20
BXP,-1,22-dic-20
C,-1,22-dic-20
CAG,1,22-dic-20
CAH,-1,22-dic-20
CARR,-1,22-dic-20
CAT,-1,22-dic-20
CB,-1,22-dic-20
CBOE,1,22-dic-20
CBRE,1,22-dic-20
CCI,1,22-dic-20
CCL,-1,22-dic-20
CDNS,1,22-dic-20
CDW,-1,22-dic-20
CE,-1,22-dic-20
CERN,1,22-dic-20
CF,-1,22-dic-20
CFG,-1,22-dic-20
CHD,1,22-dic-20
CHRW,1,22-dic-20
CHTR,-1,22-dic-20
CI,-1,22-dic-20
CINF,-1,22-dic-20
CL,-1,22-dic-20
CLX,-1,22-dic-20
CMA,1,22-dic-20
CMCSA,-1,22-dic-20
CME,-1,22-dic-20
CMG,1,22-dic-20
CMI,-1,22-dic-20
CMS,-1,22-dic-20
CNC,-1,22-dic-20
